
04/30/2020|18:32:25|28|52|recieved
04/30/2020|18:32:44|29|53|recieved
04/30/2020|19:09:46|Array|40|sent
04/30/2020|19:09:48|Array|40|delivered
04/30/2020|19:10:55|Array|40|delivered
04/30/2020|19:12:29|23|47|sent
04/30/2020|19:13:04|23|47|delivered
04/30/2020|20:50:25|22|46|sent
04/30/2020|20:50:29|22|46|delivered
04/30/2020|21:26:27|30|54|received
04/30/2020|21:26:51|31|55|received
05/04/2020|21:33:16|32|56|received
05/04/2020|21:36:34|9|33|sent
05/04/2020|21:36:38|10|34|sent
05/04/2020|21:36:40|11|35|sent
05/04/2020|21:36:43|11|35|delivered
